ID,Tenant,Source,Source File/Ref,Quantity (kWh),CO2e (kg),Status,Reviewed By,Reviewed At,Created At,AccountNumber,Amount_USD,BillingPeriodEnd,BillingPeriodStart,DestCode,Distance_km,EmployeeID,Hotel_Nights,MATNR,MEINS,MENGE,MeterID,OriginCode,Reading_kWh,Tariff,TransportMode,TravelDate,TripID,WERKS
21,1,SAP,sample_sap.txt (SAP),,,APPROVED,tester,2026-05-25 15:32:05,2026-05-25 15:31:48,,,,,,,,,FUEL2\n,L,250,,,,,,,,1002
19,1,TRAVEL,sample_travel.csv (TRAVEL),,1033.327,FLAGGED,tester,2026-05-25 13:21:39,2026-05-25 13:08:51,,,,,LAX,,emp02,,,,,,JFK,,,FLIGHT,2024-04-01,T-1002,
16,1,UTILITY,sample_utility.csv (UTILITY),4821.500,,APPROVED,pp,2026-05-25 12:53:39,2026-05-25 12:53:25,ACC-001,921.88,2024-02-12,2024-01-15,,,,,,,,MTR-4421,,4821.5,T2_Peak,,,,
17,1,UTILITY,sample_utility.csv (UTILITY),125.750,,APPROVED,pp,2026-05-25 12:53:32,2026-05-25 12:53:25,ACC-002,24.50,2024-02-28,2024-02-01,,,,,,,,MTR-5500,,125.75,T1,,,,
15,1,UTILITY,sample_travel.csv (UTILITY),,,APPROVED,pp,2026-05-25 12:51:50,2026-05-25 12:48:14,,,,, ,,emp03,2,,,,,,,,HOTEL,2024-04-15,T-1003,
13,1,UTILITY,sample_travel.csv (UTILITY),,,APPROVED,tester,2026-05-25 12:48:45,2026-05-25 12:48:14,,,,,BOM,,emp01,,,,,,DEL,,,FLIGHT,2024-03-14,T-1001,
14,1,UTILITY,sample_travel.csv (UTILITY),,,APPROVED,tester,2026-05-25 12:48:42,2026-05-25 12:48:14,,,,,LAX,,emp02,,,,,,JFK,,,FLIGHT,2024-04-01,T-1002,
11,1,TRAVEL,sample_travel.csv (TRAVEL),,1033.327,APPROVED,tester,2026-05-25 10:29:12,2026-05-25 10:29:00,,,,,LAX,,emp02,,,,,,JFK,,,FLIGHT,2024-04-01,T-1002,
10,1,TRAVEL,sample_travel.csv (TRAVEL),,295.634,APPROVED,tester,2026-05-25 10:29:09,2026-05-25 10:29:00,,,,,BOM,,emp01,,,,,,DEL,,,FLIGHT,2024-03-14,T-1001,
9,1,SAP,sample_sap.txt (SAP),,,APPROVED,tester,2026-05-25 10:25:32,2026-05-25 10:24:57,,,,,,,,,FUEL2\n,L,250,,,,,,,,1002
8,1,TRAVEL,sample_travel.csv (TRAVEL),,62.000,APPROVED,tester,2026-05-25 10:15:52,2026-05-25 10:11:04,,,,, ,,emp03,2,,,,,,,,HOTEL,2024-04-15,T-1003,
6,1,TRAVEL,sample_travel.csv (TRAVEL),,295.634,APPROVED,tester,2026-05-25 10:11:17,2026-05-25 10:11:04,,,,,BOM,,emp01,,,,,,DEL,,,FLIGHT,2024-03-14,T-1001,
5,1,UTILITY,sample_utility.csv (UTILITY),125.750,,APPROVED,tester,2026-05-25 10:06:00,2026-05-25 10:05:10,ACC-002,24.50,2024-02-28,2024-02-01,,,,,,,,MTR-5500,,125.75,T1,,,,
3,1,UTILITY,sample_utility.csv (UTILITY),125.750,,APPROVED,tester,2026-05-25 10:05:39,2026-05-25 10:01:45,ACC-002,24.50,2024-02-28,2024-02-01,,,,,,,,MTR-5500,,125.75,T1,,,,
2,1,UTILITY,sample_utility.csv (UTILITY),4821.500,,APPROVED,tester,2026-05-25 10:01:45,2026-05-25 10:01:45,ACC-001,921.88,2024-02-12,2024-01-15,,,,,,,,MTR-4421,,4821.5,T2_Peak,,,,
1,1,UTILITY,sample.csv (UTILITY),4821.500,,APPROVED,tester,2026-05-25 09:14:00,2026-05-25 09:13:59,ACC-001,921.88,2024-02-12,2024-01-15,,,,,,,,MTR-4421,,4821.5,T2_Peak,,,,
4,1,UTILITY,sample_utility.csv (UTILITY),4821.500,,FLAGGED,,,2026-05-25 10:05:10,ACC-001,921.88,2024-02-12,2024-01-15,,,,,,,,MTR-4421,,4821.5,T2_Peak,,,,
7,1,TRAVEL,sample_travel.csv (TRAVEL),,1033.327,FLAGGED,,,2026-05-25 10:11:04,,,,,LAX,,emp02,,,,,,JFK,,,FLIGHT,2024-04-01,T-1002,
12,1,TRAVEL,sample_travel.csv (TRAVEL),,62.000,FLAGGED,,,2026-05-25 10:29:00,,,,, ,,emp03,2,,,,,,,,HOTEL,2024-04-15,T-1003,
